id,nombre,nacionalidad,edad,premios
102,James Hall,Greenland,23,8
103,Nancy Davis,Albania,54,6
104,Linda Wilson,Egypt,32,9
105,Kathy Mann,Slovakia (Slovak Republic),55,1
106,Nicholas Morales,Vanuatu,52,10
107,Timothy Carroll,Malta,44,2
108,Monica Scott,Belgium,51,5
109,Kelly Lee,Canada,66,8
110,Natasha Prince,Solomon Islands,64,5
111,Jason Carlson,Macedonia,59,1
112,Patrick Mcmahon,Jersey,53,8
113,Joy Morgan,Guam,30,9
114,Ryan Smith,Haiti,59,8
115,Dale Thompson,Mexico,60,3
116,Monica Leblanc,Bulgaria,25,0
117,Scott Faulkner,San Marino,52,4
118,Jerry Page,Colombia,34,1
119,Heidi Bond,Vietnam,37,5
120,Edward Rhodes,San Marino,77,0
121,Brian David,Aruba,71,7
122,David Hall,Cote d'Ivoire,61,8
123,Courtney Ford,Western Sahara,29,3
124,Mrs. Samantha Norman,Vanuatu,72,3
125,Theresa Smith,Solomon Islands,69,8
126,Kaitlyn Miller,Pitcairn Islands,51,4
127,Shawn Cook,Central African Republic,70,4
128,Dustin Norman,Seychelles,67,1
129,Jessica Carroll,Eritrea,32,10
130,Tony Rivera,Mauritania,68,5
131,Margaret Lopez,Eritrea,49,6
132,Joseph Rowe,Martinique,28,3
133,Kristin Franklin,Denmark,28,8
134,Jonathan Ho,Switzerland,60,3
135,Harry Allison,Brunei Darussalam,50,9
136,Nicole Hayes,Kiribati,75,2
137,Dustin Jones,Switzerland,74,9
138,Joan Palmer,Cote d'Ivoire,47,3
139,Gabrielle Oconnor,Andorra,52,4
140,Stephen Wise,Honduras,26,2
141,Judith Davis,Somalia,70,6
142,Lindsey Harris,Jordan,62,9
143,Tammy Willis,Western Sahara,73,3
144,Anthony Hernandez,Montenegro,56,5
145,Carl Miller,Brazil,21,10
146,Jeffery Dean,Solomon Islands,48,8
147,Jasmine Morales,Bahrain,45,7
148,Brian Martin,Greenland,72,6
149,Tanya Oliver,Montserrat,70,0
150,Steven Arias,Jamaica,54,4
151,Luke Barajas,Isle of Man,28,2
152,Arthur Miller,Honduras,77,0
153,Nicholas Flynn,Djibouti,51,9
154,Kevin Gonzalez,French Guiana,61,9
155,Brandon Villarreal,Congo,27,2
156,Emily Holmes,Zimbabwe,20,6
157,David White,Andorra,54,10
158,Jerry Finley,Macao,79,9
159,Mary Lewis,Bolivia,24,2
160,Samuel Phillips,Hong Kong,34,8
161,Jeffrey Arnold,Fiji,35,5
162,Justin Marshall,Samoa,26,1
163,Crystal Frost,Mali,43,4
164,Bradley Davis,American Samoa,63,5
165,Bailey Greer,Canada,50,9
166,Anthony Robertson,Uzbekistan,60,5
167,Matthew Campbell DVM,Antarctica (the territory South of 60 deg S),32,3
168,Joshua Schmidt,Tonga,25,5
169,Cynthia Hall,Kazakhstan,62,10
170,Stephanie Campbell,Korea,34,9
171,Christopher Perez,Bahamas,47,6
172,Monica Lopez,United Arab Emirates,75,10
173,Kayla Torres,Turks and Caicos Islands,80,9
174,Lisa Holt,Kiribati,62,8
175,Ryan Carter,Thailand,26,5
176,Maria Anderson,Canada,47,6
177,Russell Peterson,Northern Mariana Islands,64,6
178,Chase Hartman,Haiti,80,9
179,Emily Morrow,Comoros,78,6
180,Jessica Farmer,Saint Lucia,32,3
181,Melissa Dougherty,Andorra,68,2
182,Jeffrey Williams,American Samoa,34,7
183,Tyrone Long,French Polynesia,21,10
184,Derrick Henry,Kazakhstan,20,9
185,Tara Lewis,Brunei Darussalam,29,8
186,John Holder,Svalbard & Jan Mayen Islands,80,4
187,Amber Odonnell,Nauru,50,7
188,Kristin Stephens,Taiwan,32,2
189,Susan Foley,Congo,28,2
190,Timothy Clark,Micronesia,78,4
191,Autumn Huber,Spain,76,6
192,Austin Houston,Bosnia and Herzegovina,56,5
193,Dr. Angela Walters,Bhutan,31,6
194,Joseph Wade,Ecuador,47,2
195,Nicholas Daniels,Dominican Republic,21,8
196,Mark Sullivan,Spain,40,0
197,Patricia Taylor,Hungary,45,1
198,Richard Knight,Germany,75,8
199,James Rivas,Qatar,65,3
200,Jonathan Clark,Pitcairn Islands,23,9
201,Patrick Sanchez,Tunisia,26,3
202,Emily Nunez,Senegal,52,9
203,Jennifer Wilson,Jamaica,36,4
204,Ashley Moore,Northern Mariana Islands,48,8
205,Jordan Smith,Cambodia,49,3
206,David Avila,Costa Rica,49,9
207,Charles Watson,Switzerland,40,2
208,Andres Mcmahon,Bulgaria,44,0
209,Melissa Ramos,Spain,71,4
210,Mandy Jennings,Palestinian Territory,24,8
211,Stephanie Garcia,Cyprus,62,8
212,Robert Guerra,Tonga,28,7
213,Amy Pacheco,Yemen,38,8
214,Lisa Elliott,Falkland Islands (Malvinas),79,2
215,Samantha Morrow,Cameroon,79,8
216,Jessica Edwards,South Georgia and the South Sandwich Islands,33,8
217,Mark Perez,Sri Lanka,21,7
218,Glen Copeland,Saudi Arabia,61,4
219,Jared Mann,Saint Barthelemy,77,1
220,Justin Garcia,Portugal,48,2
221,Sean Warren,Somalia,43,3
222,Nicholas Marshall,Grenada,48,8
223,Annette Simmons,Liberia,26,9
224,Kelly White,French Guiana,62,3
225,Dr. Daniel Villanueva PhD,Hungary,40,10
226,Ronald Ross,Saint Lucia,38,5
227,Terry Olsen,Bangladesh,58,6
228,James Dennis,New Zealand,55,10
229,Michelle Le,Tokelau,22,4
230,Eric Jones,New Zealand,33,3
231,Mrs. Kiara Dillon,Gabon,51,7
232,Michelle Reyes,Australia,77,4
233,Kimberly Hutchinson,Benin,36,7
234,Mrs. Sarah Collins,Burkina Faso,21,0
235,Suzanne Diaz,American Samoa,34,7
236,Dominic Simpson,Aruba,21,10
237,Robert Charles,Liechtenstein,52,7
238,Deanna Harris,Antigua and Barbuda,34,4
239,Amy Shaffer,Latvia,68,3
240,Elizabeth Carter,Reunion,55,4
241,Kimberly Meyer,Burkina Faso,29,6
242,Lisa Harvey,Lebanon,29,2
243,Matthew Brown,France,80,7
244,Kelly Garcia,Slovakia (Slovak Republic),31,2
245,James Mann,South Africa,39,8
246,Alexis Lewis,Egypt,25,1
247,Robert Bowman,Brunei Darussalam,75,3
248,Brittany Cain,British Indian Ocean Territory (Chagos Archipelago),21,9
249,Robert Cervantes,Denmark,65,0
250,Patricia Hale,Burkina Faso,62,3
251,Haley Pugh,Luxembourg,41,5
252,Brian Davis,Svalbard & Jan Mayen Islands,27,1
253,James Martin,Paraguay,32,9
254,Tracey Hall,United Kingdom,79,3
255,Walter Kirby,Bosnia and Herzegovina,45,8
256,Kathleen Evans,Kenya,30,6
257,Mark Jackson,Heard Island and McDonald Islands,51,5
258,Dustin Reed,Faroe Islands,42,1
259,Dawn Medina MD,Bahrain,64,6
260,Tracy Andrade,Romania,48,6
261,Rachel Peterson,Netherlands Antilles,43,3
262,Mark Mays,Syrian Arab Republic,64,6
263,Carolyn Hernandez,Tunisia,61,6
264,Patricia Hunt,Morocco,64,1
265,Christopher Davis,Central African Republic,22,2
266,Kevin Bailey,Netherlands Antilles,59,1
267,Caleb Carter,Comoros,52,1
268,Angela Zhang,Panama,25,0
269,Elizabeth Harris,Chile,23,9
270,Christina Clark,Netherlands,27,4
271,Katrina Ortiz,Turks and Caicos Islands,36,4
272,Patrick Owens,Cocos (Keeling) Islands,46,8
273,Andrew Berry,Puerto Rico,76,5
274,Kristine Adams,San Marino,41,9
275,Sharon Christensen,United States Minor Outlying Islands,46,7
276,Amy Levine,Gibraltar,66,4
277,Jesse Jarvis,Cocos (Keeling) Islands,67,2
278,Chelsea Brown,Guinea,64,4
279,Jessica Weaver,French Polynesia,51,3
280,Christopher Drake,Senegal,72,10
281,Danielle Johnson,Afghanistan,66,4
282,David Gilbert,Kuwait,25,1
283,Jacob Sandoval,Vietnam,62,4
284,Laura Thomas,Guernsey,50,10
285,Jeffrey Andersen,British Virgin Islands,37,2
286,Shelly Day,Liechtenstein,61,1
287,Dr. Randy Medina,Eritrea,79,1
288,Jacqueline Rivers,Sudan,29,2
289,Bryan Wolf,Ireland,40,2
290,Jessica Osborne,British Virgin Islands,42,6
291,Brandy Patel,Maldives,26,10
292,Russell Cherry,Slovenia,20,8
293,Nicholas Santos,Poland,73,4
294,Veronica Mcdaniel,South Georgia and the South Sandwich Islands,47,5
295,Sara Lam,Comoros,77,6
296,Jason Morgan,Guinea,52,7
297,Sean Henderson,Jersey,64,3
298,Bradley Simpson,Korea,28,1
299,Anthony Christian,Paraguay,53,9
300,Dylan Delacruz,Grenada,35,3
301,Angela Gomez,Seychelles,73,10
302,Mary Stone,Gambia,23,2
303,Jessica Miller,Ukraine,74,8
304,Mark Lee,Guam,71,0
305,Stacy Beck,Anguilla,22,8
306,Ryan Curtis,Nigeria,32,6
307,Randy Lee,Mexico,72,1
308,Kim Turner,Belgium,74,2
309,Kent Parsons,Ghana,24,3
310,Beth Anderson,Dominica,74,0
311,Darrell Newman,Mongolia,49,8
312,Lori Mccormick,Niue,56,2
313,Janice Mcguire,Mali,40,1
314,Derrick Nguyen,Saint Pierre and Miquelon,44,8
315,Beverly Murphy,Wallis and Futuna,53,4
316,Margaret Marsh,Cocos (Keeling) Islands,61,3
317,Denise Perez,Bahamas,42,10
318,Andrew Collins,Chad,28,10
319,Gina Jackson,Sri Lanka,39,4
320,John Juarez,Wallis and Futuna,36,5
321,Richard Peck,Antarctica (the territory South of 60 deg S),46,6
322,Latoya Davis,Pitcairn Islands,44,2
323,Chelsea Jones,Honduras,76,1
324,Lisa Richardson,Lithuania,73,2
325,Joanna Williams,Iraq,37,10
326,James Thomas,Solomon Islands,23,10
327,Kari Murray,Australia,64,7
328,Veronica Snyder,Gambia,51,6
329,Tyler Downs,Equatorial Guinea,35,1
330,Sheryl Page,Brunei Darussalam,71,9
331,Marcus Velasquez,Andorra,57,1
332,Allen Golden,Greenland,28,0
333,Paul Ferguson,Macedonia,22,5
334,Timothy Boyd,Nicaragua,29,2
335,Rodney Lee,United States Virgin Islands,68,5
336,Joshua White,Czech Republic,54,7
337,Rebecca Campbell,Honduras,41,7
338,Joshua Thompson,Svalbard & Jan Mayen Islands,43,4
339,Leslie Perkins,Turkey,50,2
340,Nicholas Lopez,Greenland,66,6
341,Cassandra Spencer,Sri Lanka,76,1
342,Jasmine Robinson,Kyrgyz Republic,76,3
343,Nathaniel Hale,Kuwait,39,10
344,Fernando Larson,Iran,40,3
345,Casey Johnson,Oman,47,10
346,Lisa Peters,Jamaica,57,0
347,Katherine Smith,Iceland,29,7
348,Martin Pitts,Mozambique,71,2
349,Aaron Rivera DVM,Tunisia,42,5
350,Anthony Kelly,Cape Verde,20,2
351,Carolyn Oliver,Saint Barthelemy,61,5
352,Samantha Leonard,Serbia,24,4
353,Greg Spencer,Dominican Republic,59,9
354,Jay Oliver,Guam,65,10
355,Bobby Hale,Angola,64,0
356,Robert Mccann,Sierra Leone,51,9
357,Brian Miller,Bouvet Island (Bouvetoya),69,4
358,Christopher Watkins,Georgia,28,1
359,Melissa Reed,Kazakhstan,28,10
360,Michael Frazier,Poland,76,0
361,Tony Hayes,Cape Verde,68,9
362,Taylor White,Jamaica,69,3
363,Sabrina Smith,Burkina Faso,21,4
364,Casey Mcclure,Dominica,27,10
365,Steven Cooper,Guatemala,63,7
366,Jeffrey Ortiz,Yemen,20,3
367,Diana Reed,Mali,44,7
368,Ryan Brown,Guinea,31,2
369,Amber Parrish,Albania,56,6
370,Michael Michael Jr.,Cuba,60,1
371,Patrick Kelly,Benin,26,9
372,Kyle Hawkins,Tunisia,69,9
373,Heather Smith,Honduras,21,9
374,Melanie Ingram,Sudan,36,9
375,Randy Morgan,Papua New Guinea,63,2
376,Andrea Snyder,South Africa,74,10
377,Samantha Vazquez,Belize,32,1
378,Paul Hernandez,Czech Republic,67,9
379,Mr. Terry Watts Jr.,Brunei Darussalam,48,3
380,Michael Jackson,Argentina,27,6
381,Elijah Rivera,Iceland,79,1
382,Maria Cook,Hungary,73,1
383,Philip Oliver,Ireland,43,8
384,Kayla Wolfe,British Virgin Islands,63,2
385,Kevin Hampton,Bhutan,42,9
386,Albert Richards,Zimbabwe,45,7
387,Jorge Wood,Uzbekistan,49,8
388,Richard Johns,Afghanistan,50,3
389,Scott Roach,Cook Islands,49,0
390,William Mooney,Guinea,41,5
391,Mike Allen,Chile,34,0
392,Tyler Cross,Serbia,54,0
393,Olivia Cochran,Estonia,20,8
394,Christopher Chang,Tonga,75,8
395,Jamie Lewis,Singapore,66,6
396,Samantha Green,Nauru,48,9
397,Lindsey Stewart,Sao Tome and Principe,42,3
398,William Herrera,Angola,63,8
399,Shelly Mitchell,United States Minor Outlying Islands,25,7
400,Brent Woods,Eritrea,67,4
401,Jessica Orozco,Bermuda,51,5
402,Miss Brittany Figueroa,American Samoa,52,4
403,Jared Friedman,Cyprus,36,7
404,Jessica Jones,Seychelles,26,7
405,Dominic Greene,Malta,25,10
406,Christopher Edwards,Syrian Arab Republic,62,4
407,James Lopez,United States of America,22,10
408,Alejandro Sanders,Gabon,68,10
409,Samuel Nichols PhD,Somalia,33,5
410,Nicole Guerrero,Azerbaijan,25,6
411,Olivia Snow,French Polynesia,24,2
412,Jennifer Mitchell,Jersey,52,4
413,Barbara Thornton,Grenada,71,0
414,Courtney Ramsey,Luxembourg,47,4
415,Andrea Durham,Italy,76,3
416,Mr. Paul Wilson,Kazakhstan,29,10
417,Jeffrey Green,New Zealand,23,2
418,Sharon Perez,Norfolk Island,59,6
419,Ronald Jackson,Israel,43,5
420,Rachel Buchanan,British Virgin Islands,25,1
421,James Franklin Jr.,Uruguay,29,6
422,Benjamin Brown,Togo,74,4
423,Kathy Smith,Brazil,65,5
424,Roberto Bradley,Micronesia,42,1
425,Wayne Collins,Belgium,39,9
426,Paul Black,Mayotte,35,6
427,Frank Williams,Korea,37,10
428,Donna Barr,Chad,21,5
429,Selena Ochoa,Slovenia,52,9
430,Amy Rodriguez,Dominica,22,3
431,Zachary Carr,Anguilla,28,2
432,Luis Garcia,Zambia,33,1
433,Raymond Sanchez,Chile,56,8
434,Jason Gardner,Barbados,63,7
435,Scott Elliott,Bahamas,32,6
436,Matthew Bowers,Australia,76,10
437,Joseph Hale,Guinea-Bissau,70,8
438,Meghan May,Oman,71,1
439,Ryan Woodard,Afghanistan,61,1
440,Jennifer Tucker,Antigua and Barbuda,20,7
441,David Lutz,Estonia,39,10
442,Eric Grant,Benin,43,3
443,Rebecca Martinez,Jordan,25,6
444,Billy Compton,Saint Pierre and Miquelon,53,5
445,Michael Mason,Botswana,63,8
446,Benjamin Johnson,Svalbard & Jan Mayen Islands,47,0
447,Martin Fisher,Algeria,68,3
448,Dustin Marsh,Bahamas,52,2
449,Dawn Jackson,Mauritania,41,0
450,Jonathan Mooney,Svalbard & Jan Mayen Islands,40,10
451,Nathan Hamilton,Bahamas,56,1
452,Daniel Branch,Serbia,23,6
453,Tamara Adams,Turks and Caicos Islands,31,7
454,Samuel Valdez,Cuba,77,7
455,Kathleen Kent,Burundi,54,5
456,Alexander Knight,Haiti,75,6
457,Patricia Wilcox,Qatar,76,10
458,Brian Brown,Heard Island and McDonald Islands,34,1
459,Matthew Henderson,British Virgin Islands,20,1
460,Donald Gallagher,Guinea,78,1
461,Robert Reyes,Eritrea,80,5
462,David Flores,Costa Rica,33,9
463,Dr. Ernest Soto,Andorra,52,5
464,Brian Vasquez,Slovenia,68,4
465,Mr. Cameron Wallace,Zimbabwe,24,0
466,Richard Matthews,Saint Lucia,37,10
467,Joanna Martin,Belarus,43,4
468,Roger Martinez,Kazakhstan,60,6
469,April Smith,Namibia,41,9
470,Stacy Newman,Faroe Islands,61,0
471,Angela Fox,Dominican Republic,56,7
472,Pamela Luna,Greenland,65,4
473,Ashley Thomas,New Caledonia,62,0
474,Curtis Alvarez,Isle of Man,63,4
475,Suzanne Gross,Guyana,28,0
476,Molly Williams,Cameroon,27,5
477,Jade Jackson,Maldives,21,7
478,Joe Nguyen,Bahamas,36,9
479,Brendan Wilson,Azerbaijan,27,6
480,Devin Woods,Central African Republic,39,10
481,Cody Hernandez,Syrian Arab Republic,43,9
482,Jerry Mayer,Armenia,63,10
483,Kenneth Henry,Croatia,45,3
484,Barbara Lee,Macao,27,5
485,Michael Conley,Micronesia,76,10
486,Robyn Hubbard,Yemen,63,0
487,Mr. Joshua Cooper,Slovenia,73,5
488,Vanessa Lopez,Bolivia,39,2
489,Anthony Garcia,Northern Mariana Islands,28,7
490,Christina Cabrera,Norway,44,5
491,Laura Fisher,Uzbekistan,69,7
492,Charles Flores,Colombia,32,7
493,Charles Figueroa,Bolivia,67,3
494,John Weaver,Brazil,61,0
495,Michelle Lawson,Guyana,23,5
496,Robert Farmer,Honduras,45,1
497,Jennifer Williams,Belgium,35,2
498,Cindy Underwood,Singapore,48,0
499,Barbara Munoz,Solomon Islands,64,6
500,Tyler Hansen,Burundi,61,5
501,Brandon Fitzpatrick,Saint Kitts and Nevis,70,3
502,Christine Camacho,Macao,71,10
503,April Murillo,Morocco,74,7
504,Patricia Walker,Tokelau,49,8
505,Nancy Mcmahon,Bahamas,68,0
506,Alan Prince,Gibraltar,36,5
507,Samuel Jackson,Trinidad and Tobago,41,10
508,Joseph Oconnell,Suriname,23,0
509,Keith Williams,Zimbabwe,50,0
510,Carlos Moore,Kiribati,48,6
511,Mark Goodman,Mauritania,79,1
512,Nichole Chavez,Andorra,39,10
513,Emily Martinez,Zambia,20,6
514,Colleen Garza,Guatemala,27,4
515,Ricky Anderson,Guyana,60,8
516,William Turner,Saint Barthelemy,24,9
517,Michael Moore,American Samoa,30,6
518,Dylan Miller,Uruguay,52,1
519,Madison Moore,Guadeloupe,47,5
520,Deborah Kirk,Syrian Arab Republic,59,5
521,Stephanie Bowman,Iran,41,0
522,Tonya Campbell,Bermuda,29,9
523,Philip Ryan,Belarus,60,7
524,Jeff Moody Jr.,Swaziland,49,5
525,Joshua Durham MD,Sierra Leone,58,5
526,Pamela Jones,Saint Helena,37,8
527,Cassie Yates,Papua New Guinea,28,4
528,Jennifer Hart,Trinidad and Tobago,52,3
529,Eric Estrada,Ecuador,44,4
530,Noah Vargas,Marshall Islands,24,5
531,David Thomas,Slovenia,42,2
532,Julia Smith DVM,Djibouti,74,5
533,Amy Alvarado,Turkey,71,8
534,Amy Ingram DDS,Singapore,42,8
535,Devin Riley,Turkmenistan,53,0
536,Scott Hunter,Jersey,78,5
537,Suzanne Turner,Vietnam,39,0
538,Shannon Sims,Angola,62,7
539,Anna Williams,Ethiopia,41,0
540,Jordan Duncan,Nigeria,56,1
541,Traci Murphy,Philippines,51,0
542,Dawn Keller,Italy,64,4
543,Mr. Hayden Williams PhD,Kyrgyz Republic,71,5
544,Rachel Burke,Hong Kong,57,8
545,Allison Castillo,Mauritius,69,10
546,Andrea Mcfarland,Lao People's Democratic Republic,39,3
547,Ashley Beasley,Niger,38,2
548,John Russo,Cyprus,33,6
549,Taylor Rios,Morocco,72,8
550,Marc Mclean,Niue,46,6
551,Kelly Castaneda,Angola,37,3
552,Derrick Nguyen,Slovenia,66,9
553,David Hensley,Cocos (Keeling) Islands,43,3
554,Nancy Harvey,Isle of Man,45,4
555,Lindsay Robles,Central African Republic,61,9
556,Andrew Nunez,Canada,75,1
557,Juan Collins,Canada,28,8
558,Anthony Williams,Kuwait,50,3
559,Mark Callahan,Japan,40,3
560,Michael Lopez,Zambia,68,1
561,Gregory Wilkerson,Guinea,42,8
562,Sean Young,Namibia,21,5
563,Phyllis Rice,Syrian Arab Republic,24,4
564,Hannah Beasley,Spain,67,6
565,Thomas Young,Guinea-Bissau,70,8
566,Kathleen Molina,Saint Kitts and Nevis,22,5
567,Elizabeth Jenkins,Ireland,35,0
568,Dean Liu,Marshall Islands,53,9
569,Allison Skinner,Benin,49,9
570,Janet Hickman DDS,Andorra,63,1
571,Ryan Moran,Guinea-Bissau,23,2
572,Kimberly Owens,Kazakhstan,74,2
573,Autumn Davis,Thailand,68,7
574,Rebecca Quinn,Madagascar,61,10
575,Kimberly Young,Madagascar,60,6
576,Michael Soto,Senegal,28,8
577,Ryan Gould,Cyprus,62,4
578,Amanda Werner,New Zealand,77,2
579,William Patrick DVM,Vanuatu,57,10
580,John Keith,Sudan,78,7
581,Crystal Patel,Saudi Arabia,33,9
582,John Williams,Ghana,72,10
583,Jeremy Brown,Saudi Arabia,47,6
584,Matthew Harris,Burundi,63,10
585,Theresa Edwards,Pitcairn Islands,44,4
586,Patricia Guzman,Jersey,41,9
587,Mr. Vincent Nelson,Bahamas,65,6
588,Jonathan Allen,Mali,47,9
589,Jeffrey Wagner,Italy,77,3
590,Mark Schaefer,Trinidad and Tobago,36,5
591,Maria Lee,Micronesia,63,5
592,Charles Williams,Saint Kitts and Nevis,42,2
593,James Rodgers,Samoa,69,10
594,Andre Cox,Falkland Islands (Malvinas),30,4
595,Nathan Harvey,Mauritania,52,10
596,Jessica Gregory,Belgium,44,2
597,Alec Walters,Kenya,24,10
598,Nicholas Moore,American Samoa,28,1
599,Diana Grant,Burkina Faso,36,7
600,Lori Zavala,Lebanon,79,0
601,Timothy Simon,Congo,48,0
602,Mia Graham,Sao Tome and Principe,40,9
603,Robert Chandler,Guadeloupe,43,10
604,Joseph Hutchinson,Antigua and Barbuda,42,0
605,Dalton Taylor,Saudi Arabia,61,5
606,Kevin Beasley,New Zealand,73,8
607,Oscar Johnson,Thailand,36,6
608,Wesley Hall,Malawi,33,5
609,Amber Griffin,Czech Republic,51,6
610,Kelly Walker,Congo,49,7
611,Kristin Rowe,Cocos (Keeling) Islands,45,8
612,Jason Warren,Syrian Arab Republic,78,8
613,Charles Fleming,Netherlands,32,1
614,Christine Martin,Hong Kong,21,2
615,Robert Gates,Liberia,35,6
616,Joseph Evans,Gabon,72,6
617,Jennifer Franklin,Cayman Islands,69,9
618,Jerome Cohen,Micronesia,73,9
619,Jose Gaines,Cayman Islands,48,7
620,Debbie Lopez,Iran,57,8
621,Darlene Smith,Netherlands,31,0
622,Allison Gomez,Libyan Arab Jamahiriya,68,1
623,Jamie Holland,Sao Tome and Principe,70,6
624,Lindsay Walker,Peru,61,5
625,Sarah Smith,Guinea,68,10
626,Erin Mitchell,Panama,28,7
627,Carlos Newman,Costa Rica,79,10
628,Ebony Olson,Saint Vincent and the Grenadines,60,2
629,Mackenzie Vargas,New Zealand,59,2
630,Brent Lamb,Slovakia (Slovak Republic),79,9
631,Christina Frey,Vietnam,40,6
632,Eduardo Merritt,Maldives,62,6
633,Sandra Anderson,Netherlands Antilles,68,0
634,Patrick Ayala,Tunisia,50,10
635,Douglas Mckee,Saint Martin,71,0
636,Charles Baker,Eritrea,67,6
637,Laura Manning,Reunion,45,5
638,Debra Barron,Bangladesh,62,7
639,Christopher English,Marshall Islands,64,10
640,Desiree Montgomery,United States of America,57,0
641,Brenda Meyer,Greece,44,1
642,Daniel Brown,Uzbekistan,49,3
643,Samantha Adams,Libyan Arab Jamahiriya,59,10
644,Michael Taylor,Falkland Islands (Malvinas),66,7
645,Jessica Gray,Belize,55,5
646,Paul Gutierrez,Czech Republic,72,6
647,Sara Smith PhD,Benin,68,2
648,Jennifer Perry,Philippines,44,1
649,Brittney Moran,Hungary,25,3
650,Richard Miller,Holy See (Vatican City State),46,10
651,Patricia Ramos,Bolivia,29,6
652,Phillip White,Lithuania,50,0
653,Rita Andrews,Taiwan,20,1
654,Daniel Jennings,Mozambique,27,5
655,Austin Torres,Uzbekistan,20,7
656,Brandi Jones,Papua New Guinea,38,5
657,Elizabeth Reyes,Panama,34,6
